Test Case ID,Test Name,Module,Priority,Status,Execution Time (ms),Tester,Environment,Browser,OS,Error Message,Severity,Bug ID,Test Suite,Execution Date
TC_LOGIN_001,Valid User Login,Authentication,High,Pass,1250,John Smith,QA,Chrome 120,Windows 11,,,,
TC_LOGIN_002,Invalid Password Login,Authentication,High,Fail,890,John Smith,QA,Chrome 120,Windows 11,Invalid credentials provided,High,BUG-001,
TC_LOGIN_003,Empty Username Login,Authentication,Medium,Fail,650,John Smith,QA,Chrome 120,Windows 11,Username field is required,Medium,BUG-002,
TC_LOGIN_004,Empty Password Login,Authentication,Medium,Fail,720,John Smith,QA,Chrome 120,Windows 11,Password field is required,Medium,BUG-003,
TC_LOGIN_005,SQL Injection Login,Authentication,Critical,Fail,1100,John Smith,QA,Chrome 120,Windows 11,Security vulnerability detected,Critical,BUG-004,
TC_DASHBOARD_001,Load Dashboard,Dashboard,High,Pass,2100,Mike Johnson,QA,Chrome 120,Windows 11,,,,
TC_DASHBOARD_002,Widget Display,Dashboard,High,Pass,1800,Mike Johnson,QA,Chrome 120,Windows 11,,,,
TC_DASHBOARD_003,Data Refresh,Dashboard,Medium,Pass,3200,Mike Johnson,QA,Chrome 120,Windows 11,,,,
TC_DASHBOARD_004,Responsive Layout,Dashboard,Medium,Fail,2500,Mike Johnson,QA,Chrome 120,Windows 11,Layout breaks on mobile view,Medium,BUG-005,
TC_DASHBOARD_005,Performance Metrics,Dashboard,Low,Pass,4100,Mike Johnson,QA,Chrome 120,Windows 11,,,,
TC_ORDER_001,Create New Order,Order Management,High,Pass,2800,Sarah Wilson,QA,Firefox 119,Windows 11,,,,
TC_ORDER_002,Edit Existing Order,Order Management,High,Pass,1950,Sarah Wilson,QA,Firefox 119,Windows 11,,,,
TC_ORDER_003,Delete Order,Order Management,High,Fail,1600,Sarah Wilson,QA,Firefox 119,Windows 11,Delete confirmation not working,High,BUG-006,
TC_ORDER_004,Order Validation,Order Management,Medium,Pass,2200,Sarah Wilson,QA,Firefox 119,Windows 11,,,,
TC_ORDER_005,Bulk Order Import,Order Management,Medium,Fail,8500,Sarah Wilson,QA,Firefox 119,Windows 11,File upload timeout,Medium,BUG-007,
TC_PAYMENT_001,Credit Card Payment,Payment,High,Pass,3200,David Brown,QA,Edge 120,Windows 11,,,,
TC_PAYMENT_002,PayPal Payment,Payment,High,Pass,2800,David Brown,QA,Edge 120,Windows 11,,,,
TC_PAYMENT_003,Invalid Card Payment,Payment,High,Fail,1900,David Brown,QA,Edge 120,Windows 11,Payment gateway error,High,BUG-008,
TC_PAYMENT_004,Refund Process,Payment,Medium,Pass,4500,David Brown,QA,Edge 120,Windows 11,,,,
TC_PAYMENT_005,Payment History,Payment,Low,Pass,1200,David Brown,QA,Edge 120,Windows 11,,,,
TC_REPORT_001,Generate Sales Report,Reports,Medium,Pass,5600,Lisa Chen,QA,Safari 17,MacOS,,,,
TC_REPORT_002,Export PDF Report,Reports,Medium,Pass,4200,Lisa Chen,QA,Safari 17,MacOS,,,,
TC_REPORT_003,Email Report,Reports,Low,Fail,3800,Lisa Chen,QA,Safari 17,MacOS,Email service unavailable,Low,BUG-009,
TC_REPORT_004,Report Filtering,Reports,Medium,Pass,2100,Lisa Chen,QA,Safari 17,MacOS,,,,
TC_REPORT_005,Data Visualization,Reports,Low,Pass,3400,Lisa Chen,QA,Safari 17,MacOS,,,,
TC_USER_001,Create User Account,User Management,High,Pass,1800,Alex Kumar,QA,Chrome 120,Linux,,,,
TC_USER_002,Update User Profile,User Management,High,Pass,1500,Alex Kumar,QA,Chrome 120,Linux,,,,
TC_USER_003,Delete User Account,User Management,High,Fail,1200,Alex Kumar,QA,Chrome 120,Linux,User deletion failed,High,BUG-010,
TC_USER_004,Role Assignment,User Management,Medium,Pass,2000,Alex Kumar,QA,Chrome 120,Linux,,,,
TC_USER_005,Password Reset,User Management,Medium,Fail,2500,Alex Kumar,QA,Chrome 120,Linux,Reset email not sent,Medium,BUG-011,
TC_API_001,Login API Endpoint,API Testing,High,Pass,800,API Tester,QA,Postman,Windows 11,,,,
TC_API_002,Get User Data API,API Testing,High,Pass,600,API Tester,QA,Postman,Windows 11,,,,
TC_API_003,Create Order API,API Testing,High,Fail,1200,API Tester,QA,Postman,Windows 11,500 Internal Server Error,Critical,BUG-012,
TC_API_004,Update Order API,API Testing,Medium,Pass,900,API Tester,QA,Postman,Windows 11,,,,
TC_API_005,Delete Order API,API Testing,Medium,Fail,1100,API Tester,QA,Postman,Windows 11,404 Not Found,High,BUG-013,
TC_PERF_001,Page Load Performance,Performance,High,Pass,3500,Perf Tester,QA,Chrome 120,Windows 11,,,,
TC_PERF_002,Database Query Performance,Performance,High,Pass,2800,Perf Tester,QA,Chrome 120,Windows 11,,,,
TC_PERF_003,Concurrent User Load,Performance,Medium,Pass,12000,Perf Tester,QA,Chrome 120,Windows 11,,,,
TC_PERF_004,Memory Usage,Performance,Medium,Pass,4500,Perf Tester,QA,Chrome 120,Windows 11,,,,
TC_PERF_005,Response Time Under Load,Performance,High,Fail,15000,Perf Tester,QA,Chrome 120,Windows 11,Response time exceeds threshold,High,BUG-014,
TC_SEC_001,SQL Injection Test,Security,Critical,Pass,2200,Security Tester,QA,Chrome 120,Windows 11,,,,
TC_SEC_002,XSS Vulnerability Test,Security,Critical,Pass,1800,Security Tester,QA,Chrome 120,Windows 11,,,,
TC_SEC_003,Authentication Bypass,Security,Critical,Fail,1600,Security Tester,QA,Chrome 120,Windows 11,Security vulnerability found,Critical,BUG-015,
TC_SEC_004,Session Management,Security,High,Pass,2000,Security Tester,QA,Chrome 120,Windows 11,,,,
TC_SEC_005,Data Encryption,Security,High,Pass,2500,Security Tester,QA,Chrome 120,Windows 11,,,,